Datum,Aussentemperatur,Vorlauftemperatur,Rücklauftemperatur,RL-Solltemperatur,Warmwassertemperatur,WW-Solltemperatur,Verdichter 1,Ventilator,2. Wärmeerzeuger,Heizungsumwälzpumpe,Warmwasserpumpe,Zusatzumwälzpumpe,Flanschheizung,Störung
2014/10/26 00:00:30,7.4,30.5,24.7,26.5,41.2,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:01:00,7.4,30.6,24.8,26.5,41.2,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:01:27,7.4,30.6,24.9,26.5,41.2,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:01:57,7.4,30.7,24.9,26.5,41.2,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:02:26,7.4,30.7,25.0,26.5,41.2,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:02:56,7.4,30.8,25.1,26.5,41.2,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:03:23,7.4,30.9,25.1,26.5,41.2,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:03:53,7.4,30.9,25.2,26.5,41.2,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:04:21,7.4,31.0,25.3,26.5,41.2,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:04:51,7.4,31.1,25.4,26.5,41.2,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:05:19,7.4,31.1,25.4,26.5,41.2,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:05:49,7.4,31.2,25.5,26.5,41.2,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:06:19,7.4,31.3,25.5,26.5,41.2,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:06:49,7.4,31.3,25.6,26.5,41.2,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:07:17,7.4,31.4,25.6,26.5,41.2,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:07:47,7.4,31.4,25.7,26.5,41.2,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:08:17,7.4,31.5,25.8,26.5,41.2,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:08:47,7.4,31.5,25.8,26.5,41.2,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:09:16,7.4,31.6,25.9,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:09:46,7.4,31.6,25.9,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:10:14,7.4,31.7,26.0,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:10:44,7.4,31.7,26.0,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:11:13,7.4,31.8,26.0,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:11:43,7.4,31.8,26.1,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:12:09,7.4,31.8,26.1,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:12:39,7.4,31.9,26.2,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:13:06,7.4,31.9,26.2,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:13:36,7.4,32.0,26.2,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:15:03,7.4,32.0,26.3,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:15:33,7.4,32.1,26.3,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:16:00,7.4,32.1,26.4,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:16:30,7.4,32.1,26.4,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:17:00,7.4,32.2,26.4,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:17:26,7.4,32.2,26.5,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:17:56,7.4,32.2,26.5,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:18:22,7.4,32.2,26.5,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:18:52,7.4,32.3,26.6,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:19:20,7.4,32.3,26.6,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:19:50,7.4,32.3,26.6,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:20:19,7.4,32.4,26.6,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:20:49,7.4,32.4,26.7,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:21:16,7.4,32.4,26.7,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:21:46,7.4,32.4,26.7,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:22:11,7.4,32.5,26.8,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:22:41,7.4,32.5,26.8,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:23:08,7.4,32.5,26.8,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:23:38,7.4,32.6,26.8,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:24:05,7.4,32.6,26.9,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:24:35,7.4,32.6,26.9,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:25:01,7.4,32.6,26.9,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:25:31,7.4,32.7,26.9,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:26:01,7.4,32.7,27.0,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:26:26,7.4,32.7,27.0,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:26:56,7.4,32.7,27.0,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:27:23,7.4,32.7,27.0,26.5,41.1,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:27:53,7.4,32.8,27.0,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:28:18,7.4,32.8,27.1,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:28:48,7.4,32.8,27.1,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:29:13,7.4,32.8,27.1,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:29:44,7.4,32.8,27.1,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:30:13,7.4,32.9,27.1,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:30:43,7.4,32.9,27.2,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:31:11,7.4,32.9,27.2,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:31:41,7.4,32.9,27.2,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:32:11,7.4,32.9,27.2,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:32:41,7.4,32.9,27.3,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:33:07,7.4,33.0,27.3,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:33:37,7.4,33.0,27.3,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:35:03,7.4,33.0,27.3,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:35:33,7.4,33.0,27.3,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:36:03,7.4,33.0,27.3,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:36:28,7.4,33.1,27.4,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:36:58,7.4,33.1,27.4,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:37:27,7.4,33.1,27.4,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:37:57,7.4,33.1,27.4,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:38:27,7.4,33.1,27.4,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:38:57,7.4,33.1,27.5,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:39:25,7.4,33.2,27.5,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:39:55,7.4,33.2,27.5,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:40:20,7.4,33.2,27.5,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:40:50,7.5,33.2,27.5,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:41:16,7.5,33.2,27.5,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:41:46,7.5,33.2,27.5,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:42:12,7.5,33.3,27.6,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:42:42,7.5,33.3,27.6,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:43:11,7.5,33.3,27.6,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:43:41,7.5,33.3,27.6,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:44:08,7.5,33.3,27.6,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:44:38,7.5,33.3,27.7,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:45:05,7.5,33.4,27.7,26.5,41.0,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:45:35,7.5,33.4,27.7,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:46:04,7.5,33.4,27.7,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:46:34,7.5,33.4,27.7,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:47:04,7.5,33.4,27.7,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:47:34,7.5,33.4,27.7,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:48:03,7.5,33.4,27.8,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:48:33,7.5,33.5,27.8,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:49:00,7.5,33.5,27.8,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:49:30,7.5,33.5,27.8,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:50:00,7.5,33.5,27.8,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:50:28,7.5,33.5,27.8,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:50:58,7.5,33.5,27.8,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:51:28,7.5,33.5,27.9,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:51:58,7.5,33.6,27.9,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:52:26,7.5,33.6,27.9,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:52:56,7.5,33.6,27.9,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:53:23,7.5,33.6,27.9,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:53:53,7.5,33.6,27.9,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:54:19,7.5,33.6,27.9,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:54:49,7.5,33.6,28.0,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:55:17,7.5,33.7,28.0,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:55:47,7.5,33.7,28.0,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:56:15,7.5,33.7,28.0,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:56:45,7.5,33.7,28.0,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:57:13,7.5,33.7,28.0,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:57:43,7.5,33.7,28.0,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:58:12,7.5,33.7,28.0,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:58:42,7.5,33.7,28.1,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:59:11,7.5,33.8,28.1,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 00:59:41,7.5,33.8,28.1,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:00:09,7.5,33.8,28.1,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:00:39,7.5,33.8,28.1,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:01:08,7.5,33.8,28.1,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:01:38,7.5,33.8,28.1,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:03:04,7.5,33.8,28.2,26.5,40.9,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:03:34,7.5,33.9,28.2,26.5,40.8,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:04:00,7.5,33.9,28.2,26.5,40.8,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:04:30,7.5,33.9,28.2,26.5,40.8,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:05:00,7.5,33.9,28.2,26.5,40.8,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:05:29,7.5,33.9,28.2,26.5,40.8,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:05:59,7.5,33.9,28.2,26.5,40.8,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:06:27,7.5,33.9,28.2,26.5,40.8,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:06:57,7.5,33.9,28.3,26.5,40.8,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:07:27,7.5,33.9,28.3,26.5,40.8,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:07:57,7.5,33.9,28.3,26.5,40.8,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:08:27,7.5,34.0,28.3,26.5,40.8,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:08:57,7.5,34.0,28.3,26.5,40.8,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:09:25,7.5,34.0,28.3,26.5,40.8,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:09:55,7.5,34.0,28.3,26.5,40.8,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:10:23,7.5,34.0,28.4,26.5,40.8,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:10:53,7.5,34.0,28.4,26.5,40.8,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:11:19,7.5,34.0,28.4,26.5,40.8,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:11:49,7.5,34.0,28.4,26.5,40.8,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:12:16,7.5,34.1,28.4,26.5,40.8,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:12:46,7.5,34.1,28.4,26.5,40.8,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:13:13,7.5,34.1,28.4,26.5,40.8,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:13:43,7.5,34.1,28.4,26.5,40.8,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:14:10,7.5,34.1,28.4,26.5,40.8,46.0,1,0,1,0,1,0,1,0
2014/10/26 01:14:40,7.5,32.3,28.5,26.5,40.8,46.0,0,0,0,0,1,0,1,0
2014/10/26 01:15:07,7.5,29.4,28.5,26.5,40.8,46.0,0,0,0,0,1,0,1,0
2014/10/26 01:15:37,7.5,28.7,28.5,26.5,40.8,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:16:07,7.5,28.5,28.5,26.5,40.8,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:16:37,7.5,28.4,28.5,26.5,40.8,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:17:03,7.5,28.3,28.5,26.5,40.8,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:17:33,7.5,28.0,28.5,26.5,40.8,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:18:01,7.5,27.8,28.5,26.5,40.8,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:18:31,7.5,27.5,28.5,26.5,40.8,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:19:01,7.5,27.4,28.5,26.5,40.8,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:19:26,7.5,27.4,28.5,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:19:56,7.5,27.6,28.5,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:20:21,7.5,27.9,28.4,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:20:51,7.5,28.1,28.4,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:21:21,7.5,28.2,28.3,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:21:51,7.5,28.2,28.2,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:22:15,7.5,28.2,28.2,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:22:45,7.5,28.2,28.1,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:23:14,7.5,28.2,28.1,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:23:44,7.5,28.1,28.0,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:24:14,7.5,28.1,27.9,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:24:44,7.5,28.0,27.9,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:25:12,7.5,27.9,27.8,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:25:42,7.5,27.9,27.8,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:26:11,7.5,27.8,27.7,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:26:41,7.5,27.8,27.6,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:27:08,7.5,27.7,27.6,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:27:38,7.5,27.6,27.5,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:28:07,7.5,27.6,27.5,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:28:37,7.5,27.5,27.4,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:29:07,7.5,27.5,27.4,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:29:37,7.5,27.4,27.3,26.5,40.7,46.0,0,0,0,0,1,0,0,0
2014/10/26 01:31:02,7.5,27.4,27.3,26.5,40.7,46.0,0,0,0,0,1,0,0,0
